Cuenta,Valor,Fecha de Pago,Pagado
Portafolio,57000,Indeterminado,True
Claro,68000,2,True
Bancolombia Hipotecario,820000,8,True
Administración Verdhia,250000,10,True
Codensa Verdhia,80000,15,False
Agua Verdhia,40000,17,False
Gas Verdhia,5000,10,False
Claro 19,180000,19,False
Netflix,18000,Indeterminado,False
Mamá,50000,Indeterminado,False
Diarios,1400000,Indeterminado,False
Davivienda libranza,2557000,Indeterminado,True
Davivienda 40 mill* 5433,950000,20,False
ChatGPT,90000,Indeterminado,False
Arriendo Apto,700000,1,True
Servicios apto centro,100000,Indeterminado,True
Arriendo moto,110000,Indeterminado,False
Crédito móvil Davivienda,264000,9,False
